	Sequential	OpenMP	GPU	GPU_Managed	GPU_ReadMostly	GPU_Opt
"325557_3216152
(325K nodes)"			125.9354	637.8883	126.0005	118.6556
"56438_300801
(56K nodes)"		12.0880	1.7759	8.8203	1.7230	1.5046
"amazon0302
(262K nodes)"		419.6321	67.7157	252.4720	67.6961	63.7532
"amazon0505
(410K nodes)"		1354.9396	212.0291	896.8581	211.9698	201.4622
"benchmark_11023_62184
(11K nodes)"	8.4669	0.1265	0.3608	0.4061	0.2958	0.3031
"benchmark_7000_41459
(7K nodes)"	4.2091	0.0857	0.3151	0.2656	0.2177	0.2142
"benchmark_85830.data
(85K nodes)"		21.3572	4.1905	11.3434	4.1274	3.6629
"email-EuAll
(265K nodes)"		44.2798	17.0806	40.3267	17.0756	12.7017
"random
(32K nodes)"			0.7546	2.8375		0.6765
"roadNet-CA
(1.97M nodes)"			12567.0169		12574.8912	11790.0851
"roadNet-PA
(1.09M nodes)"			3523.0458		3523.0592	3332.7209
"roadNet-TX
(1.38M nodes)"			6419.0481		6418.7101	6095.3754
"web-Google
(875K nodes)"			782.7590		782.8135	725.8217
"web-NotreDame
(325K nodes)"		32.5043	16.3433	79.8040	16.3376	10.9100
"web-Stanford
(281K nodes)"		196.3381	66.1665	283.4504	66.2748	62.1666
